     1	26.7 
     2	23.8 
     3	22.8 
     4	24.0 
     5	25.0 
     6	22.8 
     7	24.0 
     8	23.8 
     9	23.8 
    10	24.0 
    11	28.7 
    12	27.0 
    13	26.7 
    14	29.0 
    15	26.7 
    16	27.0 
    17	27.7 
