Loop_time_sec, CPU_u
0.00436825,nan
0.00437125,100
0.00436742,nan
0.00436037,100
0.0043715,nan
0.00433892,nan
0.00433429,100
0.00431446,nan
0.00436729,100
0.00435392,nan
0.00439354,nan
0.00432871,100
0.00434892,nan
0.00430538,100
0.00435808,nan
0.00439675,nan
0.00434917,nan
0.00435583,100
0.00436246,nan
0.00436921,100
0.004379,100
0.00433046,nan
0.00436267,nan
0.00436808,100
0.00436479,nan
0.00435304,nan
0.00436104,100
0.00434996,100
0.00436554,nan
0.00442071,nan
0.00441713,nan
0.00422675,nan
0.00437413,nan
0.00435875,100
0.00434808,nan
0.00435867,100
0.00437583,100
0.00433617,nan
0.00436363,nan
0.00436275,nan
0.00437038,100
0.00435958,100
0.00435092,nan
0.00435683,nan
0.00435396,100
0.00435817,nan
0.00437646,100
0.00435913,nan
0.00436188,100
0.0042615,nan
0.00435608,nan
0.00438154,nan
0.00435879,nan
0.0044225,100
0.00425067,nan
0.00435337,100
0.00424583,100
0.00434538,nan
0.00436554,nan
0.00436546,nan
0.00437096,100
0.00436,nan
0.00436225,100
0.00436383,nan
0.00433017,100
0.00435512,nan
0.00436521,nan
0.00436921,nan
0.00437554,100
0.00439129,100
0.00434792,nan
0.00430388,nan
0.00411587,nan
0.00427333,100
0.00435204,nan
0.00435413,100
0.00435887,100
0.00436371,nan
0.00436271,100
0.00435717,nan
0.00437279,100
0.00436533,nan
0.00437433,nan
0.00436583,100
0.00438554,100
0.0042735,100
0.00435808,nan
0.00435754,nan
0.00436662,nan
0.00437067,100
0.00434233,nan
0.00436387,100
0.00444358,nan
0.00427683,nan
0.00435962,100
0.00436679,nan
0.00435983,100
0.00435421,100
0.00437758,nan
0.00434067,nan
0.00440404,100
0.00432175,nan
0.00445542,nan
0.00426013,nan
0.00436037,100
0.00436937,100
0.00436513,nan
0.00435167,nan
0.00436225,nan
0.00443933,100
0.004279,100
0.00434554,nan
0.00439029,100
0.00435988,nan
0.00428029,100
0.00435846,nan
0.004356,nan
0.00439217,nan
0.00433608,100
0.00435517,nan
0.00434567,100
0.00427767,nan
0.00436075,0
0.00434504,nan
0.00434417,100
0.00436458,nan
0.00432283,nan
0.00435038,nan
0.00435813,nan
0.00444413,100
0.00428467,100
0.00434567,nan
0.00427729,100
0.00437388,nan
0.00437175,nan
0.00437017,nan
0.00435996,100
0.00436188,nan
0.00436342,nan
0.00435625,100
0.00435488,nan
0.0043615,nan
0.00439717,100
0.00433138,nan
0.00435833,100
0.00436396,nan
0.00434621,nan
0.00436467,nan
0.00436417,100
0.00434908,100
0.00435325,nan
0.0043775,nan
0.00435529,100
0.00433717,100
0.00433058,nan
0.004367,nan
0.00436667,100
0.00434971,nan
0.00436004,100
0.00436683,nan
0.00436504,nan
0.00445546,nan
0.00426996,100
0.00436267,100
0.00436579,nan
0.00436517,nan
0.00430108,nan
0.00430363,nan
0.004388,50
0.00417625,nan
0.00434696,nan
0.00430325,0
0.00438992,nan
0.00422738,nan
0.00429179,nan
0.00430321,0
0.00438717,nan
0.00422321,nan
0.00430025,nan
0.00430467,0
0.00438908,100
0.00418187,nan
0.00435012,0
0.00431033,nan
0.00438054,nan
0.004221,nan
0.00430183,0
0.00430267,nan
0.00439004,100
0.00418771,0
0.00433904,nan
0.00430825,nan
0.00434692,nan
0.00392633,0
0.00428983,nan
0.00430192,nan
0.00440408,nan
0.00420621,0
0.00430017,nan
0.00430337,nan
0.00438954,50
0.00421329,nan
0.00430021,nan
0.00431046,nan
0.00438,0
0.004221,nan
0.00430071,nan
0.00430492,0
0.00438579,100
0.00418775,nan
0.00434383,nan
0.00430463,0
0.00440608,nan
0.00421183,nan
0.00429442,nan
0.00430246,0
0.00438908,nan
0.00421879,nan
0.00430342,0
0.00430154,nan
0.00438929,100
0.00421271,nan
0.00427533,0
0.00434929,nan
0.00438104,nan
0.00422238,0
0.00429921,nan
0.00430237,nan
0.0043935,100
0.00422762,0
0.00428337,nan
0.00429996,nan
0.00439442,nan
0.00418704,0
0.00430229,nan
0.00430271,nan
0.004389,nan
0.00422329,0
0.0043,nan
0.00430337,nan
0.00439142,50
0.00420988,nan
0.00430058,nan
0.00430546,nan
0.00439096,0
0.00421604,nan
0.00430304,nan
0.00430446,0
0.00438896,100
0.00421317,nan
0.00430158,nan
0.0043295,0
0.00436254,nan
0.00422075,nan
0.00430296,0
0.00430046,nan
0.00438879,100
0.00421292,nan
0.00430054,nan
0.00430317,100
0.00427367,100
0.00437712,nan
0.00434496,nan
0.00435225,100
0.00438438,nan
0.00437996,nan
0.00431,nan
0.00437687,100
0.00434212,nan
0.00436067,100
0.00436792,nan
0.00435133,nan
0.00435817,100
0.00436296,0
0.0043155,nan
0.00436208,100
0.00435813,100
0.00435488,nan
0.00435429,nan
0.00436279,nan
0.00436592,nan
0.00436483,100
0.00435838,nan
0.00431362,100
0.00438112,100
0.0043455,nan
0.00435508,nan
0.00436542,nan
0.00436821,100
0.00435462,100
0.00424096,100
0.00436333,nan
0.00433229,nan
0.00437633,100
0.00435071,nan
0.00436571,nan
0.00432583,100
0.00435904,nan
0.00435388,nan
0.00436783,100
0.00437946,nan
0.00432725,100
0.00435733,100
0.00430854,nan
0.00437025,nan
0.00436088,100
0.004347,nan
0.00436404,100
0.00436542,nan
0.00435721,nan
0.00434737,nan
0.00443483,100
0.00431021,100
0.00431938,nan
0.00435892,nan
0.00435125,nan
0.00435996,nan
0.00436621,nan
0.00436433,100
0.00436175,nan
0.00435704,100
0.00442454,nan
0.00429696,nan
0.00436275,100
0.00435333,nan
0.00446683,nan
0.00425642,100
0.00434842,nan
0.00436812,100
0.00435083,nan
0.00436188,nan
0.00435208,100
0.00435371,100
0.00435154,nan
0.00436871,100
0.00443437,nan
0.00429962,nan
0.00434033,nan
0.00435354,nan
0.00437304,100
0.00435871,100
0.00436137,nan
0.00435304,nan
0.00436037,nan
0.00436025,100
0.00437542,nan
0.00434863,nan
0.00437483,nan
0.00436367,100
0.00436646,nan
0.00436108,100
0.004428,nan
0.00426325,nan
0.00439517,100
0.00433104,nan
0.00439146,100
0.00431658,nan
0.00437067,nan
0.00436746,100
0.00434963,100
0.00435442,nan
0.00436088,0
0.00435967,100
0.00434521,nan
0.00438037,nan
0.00436925,100
0.00435304,100
0.00438267,nan
0.00427617,100
0.0044325,nan
0.00428996,nan
0.00435258,nan
0.00435612,nan
0.00435337,100
0.00435092,nan
0.00437117,100
0.00434771,nan
0.00437004,100
0.00433838,nan
0.00435654,100
0.00435517,nan
0.00436883,100
0.004363,100
0.00425275,nan
0.00436229,100
0.00436062,nan
0.00435817,nan
0.00435712,100
0.00435392,100
0.00436479,nan
0.00436192,100
0.00434421,nan
0.00437388,nan
0.00435162,100
0.00434863,nan
0.00436529,nan
0.00436321,100
0.00436683,nan
0.00436675,100
0.00436033,nan
0.004365,100
0.00437204,100
0.00434175,nan
0.00438037,nan
0.00436475,100
0.00435892,nan
0.00435079,nan
0.00435379,nan
0.00436692,100
0.00426217,nan
0.00436779,100
0.00436496,nan
0.00433579,nan
0.00436829,nan
0.00437067,100
0.00436092,nan
0.00436258,100
0.00436696,nan
0.00435954,nan
0.00436788,100
0.00436571,nan
0.00436637,100
0.00434638,nan
0.00436513,nan
0.00437004,nan
0.0043595,100
0.0043495,nan
0.00436117,100
0.00436146,100
0.00436192,nan
0.00434333,100
0.00434625,nan
0.00436729,nan
0.0043665,100
0.00434958,nan
0.00436492,100
0.00436692,100
0.00436775,nan
0.00436871,100
0.004362,nan
0.00439262,100
0.00432888,nan
0.00435625,100
0.00436037,nan
0.00435804,nan
0.00437304,100
0.00435425,nan
0.00425792,nan
0.00437162,100
0.0043745,100
0.0043495,nan
0.00435333,nan
0.00435425,nan
0.00436196,100
0.00435954,nan
0.00434979,100
0.00436142,100
0.00436108,nan
0.00437483,100
0.00433733,nan
0.00437308,nan
0.00440246,nan
0.00430217,0
0.00430108,nan
0.00438983,100
0.00421421,nan
0.00430329,0
0.00430383,nan
0.00440717,nan
0.00420383,nan
0.00427704,0
0.00433862,nan
0.004388,nan
0.00422,nan
0.00430571,0
0.00427125,nan
0.00438137,100
0.0042155,0
0.00429942,nan
0.0043015,nan
0.00438929,nan
0.00422313,0
0.00430304,nan
0.00430467,nan
0.00439221,100
0.00421088,0
0.00430113,nan
0.00430263,nan
0.00438967,0
0.00421921,nan
0.00427467,nan
0.00434046,nan
0.00439021,0
0.00422204,nan
0.00430279,nan
0.00430704,nan
0.0043925,50
0.00421208,nan
0.00430071,nan
0.00430146,0
0.00439129,nan
0.004222,nan
0.00430013,nan
0.00430233,0
0.00439021,100
0.00421625,nan
0.00433904,nan
0.00426367,0
0.00438975,nan
0.00422204,nan
0.00428267,0
0.00433787,nan
0.00438958,nan
0.00422208,nan
0.00430213,0
0.00430042,nan
0.00434504,100
0.0042145,nan
0.00430171,0
0.00430113,nan
0.00438958,nan
0.00422096,0
0.00430179,nan
0.00430463,nan
0.00438933,100
0.00421221,0
0.00430154,nan
0.00434458,nan
0.00435033,0
0.00421779,nan
0.00430375,nan
0.00426096,nan
0.00440279,50
0.00420096,nan
0.00430408,nan
0.004303,nan
0.00438771,0
0.00426096,nan
0.00426288,nan
0.00430275,nan
0.00439254,50
0.00421158,nan
0.004304,nan
0.00430308,0
0.00438938,nan
0.00422271,nan
0.00430154,nan
0.00430192,0
0.00438896,nan
0.00422067,nan
0.00430533,nan
0.00430288,0
0.00427296,100
0.00433558,nan
0.00430013,100
0.00431663,100
0.00427783,nan
0.00430538,nan
0.00424204,nan
0.00435679,100
0.00436225,100
0.00434192,nan
0.00439288,100
0.00426917,nan
0.00437129,nan
0.00437017,nan
0.00436054,100
0.00434137,0
0.00427088,100
0.00437808,nan
0.00436529,nan
0.00440608,nan
0.00435371,100
0.00426329,100
0.00435721,nan
0.00438779,100
0.00433108,nan
0.00437125,100
0.00438754,nan
0.00433833,nan
0.00436196,nan
0.00436071,100
0.00435125,100
0.00436692,nan
0.0043625,nan
0.00435671,100
0.00435658,nan
0.00426942,nan
0.00436212,100
0.00431479,100
0.00435396,nan
0.00436558,nan
0.00436679,100
0.00422563,nan
0.00440496,100
0.00426396,nan
0.00437533,nan
0.00428683,100
0.00435763,nan
0.0043145,100
0.0043685,100
0.00435337,nan
0.00439446,nan
0.00432708,nan
0.00436683,nan
0.00436354,100
0.00434617,nan
0.00436771,100
0.00435258,100
0.00435979,nan
0.00435625,nan
0.00437308,nan
0.00436108,nan
0.0043485,100
0.00434525,nan
0.00436329,100
0.00436283,nan
0.00435813,100
0.00440892,nan
0.00430742,nan
0.00437621,100
0.00436263,nan
0.00437887,100
0.00434871,100
0.00435921,100
0.00436354,nan
0.00437063,nan
0.00437233,nan
0.00435975,100
0.00436762,nan
0.00436408,nan
0.00437308,nan
0.0043525,100
0.0043615,nan
0.00435917,nan
0.00436308,nan
0.00436367,100
0.004358,nan
0.004361,nan
0.0043735,nan
0.00434312,100
0.00436392,nan
0.00438179,nan
0.00433996,100
0.0043635,100
0.00435337,nan
0.00435283,nan
0.00436212,100
0.00436088,nan
0.00436979,nan
0.00435546,100
0.00436704,nan
0.00434667,nan
0.00436408,nan
0.00440967,100
0.00431708,nan
0.00439825,100
0.00433367,nan
0.00432646,nan
0.004359,100
0.00436013,100
0.00435287,nan
0.00436371,nan
0.00435658,nan
0.00436987,nan
0.0043515,100
0.00435683,nan
0.00436446,100
0.00435217,100
0.00436979,100
0.00434754,nan
0.00436254,nan
0.00440363,nan
0.00431804,nan
0.00437254,nan
0.00433417,nan
0.00435992,100
0.00435654,nan
0.00435146,100
0.004368,nan
0.00435608,nan
0.00435862,nan
0.00437225,100
0.00445487,nan
0.00426538,100
0.00436942,nan
